,uid,time,tasks
156,netmark-experiment-size-90,72.375,90
157,netmark-experiment-size-90,64.319,90
158,netmark-experiment-size-90,57.175,90
159,netmark-experiment-size-90,65.017,90
160,netmark-experiment-size-90,53.279,90
161,netmark-experiment-size-90,71.277,90
162,netmark-experiment-size-90,54.962,90
163,netmark-experiment-size-90,58.366,90
164,netmark-experiment-size-90,56.25,90
165,netmark-experiment-size-90,50.469,90
166,netmark-experiment-size-90,64.009,90
167,netmark-experiment-size-90,52.919,90
168,netmark-experiment-size-90,61.825,90
169,netmark-experiment-size-90,56.853,90
170,netmark-experiment-size-90,60.381,90
171,netmark-experiment-size-90,70.292,90
172,netmark-experiment-size-90,53.066,90
173,netmark-experiment-size-90,76.471,90
174,netmark-experiment-size-90,71.229,90
175,netmark-experiment-size-90,67.191,90
176,netmark-experiment-size-90,68.22,90
177,netmark-experiment-size-90,44.943,90
178,netmark-experiment-size-90,74.159,90
179,netmark-experiment-size-90,68.253,90
180,netmark-experiment-size-90,63.513,90
181,netmark-experiment-size-90,69.397,90
182,netmark-experiment-size-90,69.092,90
183,netmark-experiment-size-90,60.168,90
184,netmark-experiment-size-90,67.238,90
185,netmark-experiment-size-90,84.735,90
186,netmark-experiment-size-90,79.184,90
187,netmark-experiment-size-90,62.617,90
188,netmark-experiment-size-90,89.326,90
189,netmark-experiment-size-90,57.09,90
190,netmark-experiment-size-90,63.942,90
191,netmark-experiment-size-90,64.982,90
192,netmark-experiment-size-90,75.947,90
193,netmark-experiment-size-90,66.834,90
194,netmark-experiment-size-90,58.295,90
195,netmark-experiment-size-90,72.337,90
196,netmark-experiment-size-90,68.403,90
197,netmark-experiment-size-90,66.181,90
198,netmark-experiment-size-90,76.054,90
199,netmark-experiment-size-90,69.212,90
200,netmark-experiment-size-90,65.431,90
201,netmark-experiment-size-90,61.108,90
202,netmark-experiment-size-90,55.134,90
203,netmark-experiment-size-90,66.218,90
204,netmark-experiment-size-90,74.831,90
205,netmark-experiment-size-90,69.295,90
206,netmark-experiment-size-90,60.735,90
207,netmark-experiment-size-90,62.191,90
208,netmark-experiment-size-90,57.139,90
209,netmark-experiment-size-90,64.184,90
210,netmark-experiment-size-90,57.786,90
211,netmark-experiment-size-90,56.521,90
212,netmark-experiment-size-90,65.354,90
213,netmark-experiment-size-90,64.728,90
214,netmark-experiment-size-90,63.872,90
215,netmark-experiment-size-90,55.744,90
216,netmark-experiment-size-90,56.607,90
217,netmark-experiment-size-90,72.466,90
218,netmark-experiment-size-90,62.472,90
219,netmark-experiment-size-90,67.311,90
220,netmark-experiment-size-90,78.179,90
221,netmark-experiment-size-90,68.862,90
222,netmark-experiment-size-90,57.088,90
223,netmark-experiment-size-90,61.968,90
224,netmark-experiment-size-90,67.385,90
225,netmark-experiment-size-90,69.741,90
226,netmark-experiment-size-90,70.956,90
227,netmark-experiment-size-90,54.533,90
228,netmark-experiment-size-90,65.132,90
229,netmark-experiment-size-90,65.762,90
230,netmark-experiment-size-90,59.201,90
231,netmark-experiment-size-90,54.738,90
232,netmark-experiment-size-90,79.781,90
233,netmark-experiment-size-90,63.4,90
234,netmark-experiment-size-90,63.368,90
235,netmark-experiment-size-90,76.244,90
236,netmark-experiment-size-90,61.577,90
237,netmark-experiment-size-90,73.337,90
238,netmark-experiment-size-90,68.727,90
239,netmark-experiment-size-90,58.799,90
240,netmark-experiment-size-90,72.691,90
241,netmark-experiment-size-90,64.695,90
242,netmark-experiment-size-90,57.473,90
243,netmark-experiment-size-90,63.419,90
244,netmark-experiment-size-90,61.643,90
245,netmark-experiment-size-90,67.665,90
246,netmark-experiment-size-90,59.297,90
247,netmark-experiment-size-90,54.917,90
248,netmark-experiment-size-90,59.948,90
249,netmark-experiment-size-90,56.443,90
250,netmark-experiment-size-90,64.844,90
251,netmark-experiment-size-90,72.387,90
252,netmark-experiment-size-90,69.28,90
253,netmark-experiment-size-90,55.738,90
254,netmark-experiment-size-90,61.754,90
255,netmark-experiment-size-90,64.875,90
256,netmark-experiment-size-90,68.688,90
257,netmark-experiment-size-90,65.234,90
258,netmark-experiment-size-90,59.848,90
259,netmark-experiment-size-90,55.957,90
260,netmark-experiment-size-90,73.181,90
261,netmark-experiment-size-90,65.656,90
262,netmark-experiment-size-90,80.238,90
263,netmark-experiment-size-90,69.177,90
264,netmark-experiment-size-90,65.987,90
265,netmark-experiment-size-90,68.66,90
266,netmark-experiment-size-90,71.123,90
267,netmark-experiment-size-90,65.153,90
268,netmark-experiment-size-90,60.73,90
269,netmark-experiment-size-90,65.212,90
270,netmark-experiment-size-90,72.022,90
271,netmark-experiment-size-90,72.389,90
272,netmark-experiment-size-90,53.078,90
273,netmark-experiment-size-90,72.825,90
274,netmark-experiment-size-90,71.601,90
275,netmark-experiment-size-90,81.907,90
276,netmark-experiment-size-90,63.816,90
277,netmark-experiment-size-90,80.144,90
278,netmark-experiment-size-90,60.635,90
279,netmark-experiment-size-90,65.12,90
280,netmark-experiment-size-90,79.346,90
281,netmark-experiment-size-90,68.387,90
282,netmark-experiment-size-90,65.011,90
283,netmark-experiment-size-90,55.285,90
284,netmark-experiment-size-90,78.128,90
285,netmark-experiment-size-90,62.166,90
286,netmark-experiment-size-90,68.48,90
287,netmark-experiment-size-90,76.98,90
288,netmark-experiment-size-90,73.838,90
289,netmark-experiment-size-90,62.468,90
290,netmark-experiment-size-90,73.065,90
291,netmark-experiment-size-90,69.497,90
292,netmark-experiment-size-90,63.633,90
293,netmark-experiment-size-90,54.124,90
294,netmark-experiment-size-90,62.679,90
295,netmark-experiment-size-90,54.154,90
296,netmark-experiment-size-90,66.181,90
297,netmark-experiment-size-90,69.749,90
298,netmark-experiment-size-90,78.401,90
299,netmark-experiment-size-90,71.07,90
300,netmark-experiment-size-90,79.507,90
301,netmark-experiment-size-90,74.768,90
302,netmark-experiment-size-90,80.312,90
303,netmark-experiment-size-90,74.661,90
304,netmark-experiment-size-90,67.746,90
305,netmark-experiment-size-90,57.699,90
306,netmark-experiment-size-90,75.99,90
307,netmark-experiment-size-90,62.535,90
308,netmark-experiment-size-90,66.117,90
309,netmark-experiment-size-90,74.614,90
310,netmark-experiment-size-90,74.347,90
311,netmark-experiment-size-90,66.865,90
312,netmark-experiment-size-90,73.797,90
313,netmark-experiment-size-90,64.04,90
314,netmark-experiment-size-90,75.509,90
315,netmark-experiment-size-90,75.707,90
316,netmark-experiment-size-90,64.311,90
317,netmark-experiment-size-90,56.591,90
318,netmark-experiment-size-90,65.325,90
319,netmark-experiment-size-90,70.226,90
320,netmark-experiment-size-90,66.194,90
321,netmark-experiment-size-90,58.128,90
322,netmark-experiment-size-90,67.218,90
323,netmark-experiment-size-90,70.68,90
324,netmark-experiment-size-90,70.805,90
325,netmark-experiment-size-90,70.073,90
326,netmark-experiment-size-90,56.149,90
327,netmark-experiment-size-90,63.702,90
328,netmark-experiment-size-90,62.578,90
329,netmark-experiment-size-90,65.365,90
330,netmark-experiment-size-90,82.876,90
331,netmark-experiment-size-90,58.065,90
332,netmark-experiment-size-90,73.656,90
333,netmark-experiment-size-90,73.285,90
334,netmark-experiment-size-90,68.704,90
335,netmark-experiment-size-90,69.777,90
336,netmark-experiment-size-90,74.884,90
337,netmark-experiment-size-90,53.167,90
338,netmark-experiment-size-90,50.432,90
339,netmark-experiment-size-90,68.339,90
340,netmark-experiment-size-90,53.929,90
341,netmark-experiment-size-90,56.608,90
342,netmark-experiment-size-90,70.194,90
343,netmark-experiment-size-90,62.9,90
344,netmark-experiment-size-90,78.843,90
345,netmark-experiment-size-90,65.459,90
346,netmark-experiment-size-90,64.561,90
347,netmark-experiment-size-90,69.197,90
348,netmark-experiment-size-90,71.157,90
349,netmark-experiment-size-90,61.98,90
350,netmark-experiment-size-90,59.357,90
351,netmark-experiment-size-90,76.103,90
352,netmark-experiment-size-90,64.453,90
353,netmark-experiment-size-90,79.864,90
354,netmark-experiment-size-90,76.256,90
355,netmark-experiment-size-90,74.738,90
356,netmark-experiment-size-90,61.628,90
357,netmark-experiment-size-90,64.696,90
358,netmark-experiment-size-90,68.544,90
