,minicluster_size,name,fluxsubmit_time,fluxstart_time,lammps_time,ranks,timesteps_per_second,operator_name
lmp-mpi-operator-16-1,16,mpi-operator-16,52.58,60.666141,45.0,1504,2.298,mpi-operator
lmp-mpi-operator-64-1,64,mpi-operator-64,31.13,49.232265,21.0,6016,5.305,mpi-operator
lmp-mpi-operator-8-1,8,mpi-operator-8,84.99,91.740646,76.0,752,1.349,mpi-operator
lmp-mpi-operator-32-1,32,mpi-operator-32,36.52,47.332737,28.0,3008,3.702,mpi-operator
lmp-mpi-operator-64-2,64,mpi-operator-64,29.97,48.766606,20.0,6016,5.168,mpi-operator
lmp-mpi-operator-32-2,32,mpi-operator-32,36.57,47.402278,28.0,3008,3.669,mpi-operator
lmp-mpi-operator-8-2,8,mpi-operator-8,82.58,88.894678,75.0,752,1.356,mpi-operator
lmp-mpi-operator-8-3,8,mpi-operator-8,83.91,90.914817,76.0,752,1.342,mpi-operator
lmp-mpi-operator-64-3,64,mpi-operator-64,29.18,48.356518,20.0,6016,5.296,mpi-operator
lmp-mpi-operator-64-4,64,mpi-operator-64,30.85,49.780021,19.0,6016,5.355,mpi-operator
lmp-mpi-operator-64-5,64,mpi-operator-64,31.72,50.35915,20.0,6016,5.248,mpi-operator
lmp-mpi-operator-64-6,64,mpi-operator-64,33.48,52.231289,20.0,6016,5.203,mpi-operator
lmp-mpi-operator-8-4,8,mpi-operator-8,83.61,90.044673,76.0,752,1.348,mpi-operator
lmp-mpi-operator-16-2,16,mpi-operator-16,52.67,60.714487,45.0,1504,2.294,mpi-operator
lmp-mpi-operator-32-3,32,mpi-operator-32,36.33,47.521098,28.0,3008,3.675,mpi-operator
lmp-mpi-operator-64-7,64,mpi-operator-64,29.63,48.307722,20.0,6016,5.139,mpi-operator
lmp-mpi-operator-32-4,32,mpi-operator-32,36.32,46.530387,28.0,3008,3.675,mpi-operator
lmp-mpi-operator-8-5,8,mpi-operator-8,84.7,91.231727,77.0,752,1.325,mpi-operator
lmp-mpi-operator-8-6,8,mpi-operator-8,88.39,95.213496,81.0,752,1.265,mpi-operator
lmp-mpi-operator-8-7,8,mpi-operator-8,85.21,92.440205,77.0,752,1.325,mpi-operator
