,minicluster_size,name,fluxsubmit_time,fluxstart_time,lammps_time,ranks,timesteps_per_second,cluster_time
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-2-minicluster-size-8,8,minicluster-8,81.43,85.98,75.0,752,1.366,48.085999999999984
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-11-minicluster-size-16,16,minicluster-16,49.32,51.29,43.0,1504,2.409,49.800999999999995
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-5-minicluster-size-64,64,minicluster-64,27.85,29.53,20.0,6016,5.159,52.645999999999994
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-16-minicluster-size-64,64,minicluster-64,26.69,28.94,19.0,6016,5.445,49.22
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-15-minicluster-size-16,16,minicluster-16,49.55,51.49,43.0,1504,2.395,50.167
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-12-minicluster-size-16,16,minicluster-16,49.67,50.53,43.0,1504,2.381,45.089
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-1-minicluster-size-8,8,minicluster-8,79.53,80.38,73.0,752,1.4,48.883999999999986
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-19-minicluster-size-8,8,minicluster-8,80.63,81.47,74.0,752,1.381,48.289000000000016
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-15-minicluster-size-64,64,minicluster-64,25.45,28.09,18.0,6016,5.774,53.53
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-4-minicluster-size-16,16,minicluster-16,49.9,51.64,43.0,1504,2.367,50.166000000000004
aws/k8s-size-65-hpc6a.48xlarge/lmp-32-20-minicluster-size-32,32,minicluster-32,33.86,35.5,27.0,3008,3.82,46.562
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-4-minicluster-size-8,8,minicluster-8,79.61,82.62,73.0,752,1.403,50.56400000000001
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-7-minicluster-size-8,8,minicluster-8,79.62,80.44,73.0,752,1.4,44.408
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-9-minicluster-size-64,64,minicluster-64,26.48,28.36,19.0,6016,5.542,53.828
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-18-minicluster-size-64,64,minicluster-64,25.74,27.65,18.0,6016,5.721,52.759
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-12-minicluster-size-8,8,minicluster-8,86.53999999999999,87.4,80.0,752,1.277,44.714
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-6-minicluster-size-64,64,minicluster-64,26.59,28.5,19.0,6016,5.489,53.89099999999999
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-19-minicluster-size-64,64,minicluster-64,25.76,27.64,18.0,6016,5.79,52.657
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-13-minicluster-size-64,64,minicluster-64,25.86,28.16,18.0,6016,5.733,49.318
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-8-minicluster-size-16,16,minicluster-16,53.92,54.8,47.0,1504,2.159,49.128
aws/k8s-size-65-hpc6a.48xlarge/lmp-8-18-minicluster-size-8,8,minicluster-8,79.35,81.09,73.0,752,1.402,49.84300000000002
aws/k8s-size-65-hpc6a.48xlarge/lmp-64-8-minicluster-size-64,64,minicluster-64,27.56,29.53,19.0,6016,5.438,53.06699999999999
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-7-minicluster-size-16,16,minicluster-16,49.34,50.17,43.0,1504,2.397,44.953
aws/k8s-size-65-hpc6a.48xlarge/lmp-16-1-minicluster-size-16,16,minicluster-16,49.31,51.18,43.0,1504,2.403,50.150999999999996
