,minicluster_size,mpitype,runtime,analysis,ranks
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-10,8,ompi,1.8217813968658447,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-8,8,ompi,1.7668180465698242,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-5,8,ompi,1.7845780849456787,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-6,8,ompi,1.8073515892028809,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-4,8,ompi,1.8017032146453857,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-17,8,ompi,1.7478771209716797,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-18,8,ompi,1.7931387424468994,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-14,8,ompi,1.7691166400909424,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-2,8,ompi,1.7757015228271484,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-12,8,ompi,1.7766563892364502,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-3,8,ompi,1.7756800651550293,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-9,8,ompi,1.7862811088562012,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-19,8,ompi,1.765841007232666,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-13,8,ompi,1.7790400981903076,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-11,8,ompi,1.8037068843841553,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-15,8,ompi,1.8167521953582764,ring_usempi,448
kubernetes-8/ompi/size_8_ring_usempi/mpis-8-ring_usempi-7,8,ompi,1.7646818161010742,ring_usempi,448
kubernetes-8/ompi/size_3_ring_c-noaff/mpis-3-ring_c-noaff-0,3,ompi,1.3941607475280762,ring_c-noaff,168
