,minicluster_size,name,fluxsubmit_time,lammps_time,ranks,timesteps_per_second,cluster_time
k8s-size-64-hpc6a.48xlarge/lmp-64-15-minicluster-size-64,64,minicluster-64,47.99,37.0,6016,4.391,53.648
k8s-size-64-hpc6a.48xlarge/lmp-16-4-minicluster-size-16,16,minicluster-16,57.1,48.0,1504,2.34,52.123
k8s-size-64-hpc6a.48xlarge/lmp-32-20-minicluster-size-32,32,minicluster-32,44.09,34.0,3008,3.527,49.93599999999999
k8s-size-64-hpc6a.48xlarge/lmp-8-4-minicluster-size-8,8,minicluster-8,90.65,79.0,752,1.322,58.614000000000004
k8s-size-64-hpc6a.48xlarge/lmp-8-7-minicluster-size-8,8,minicluster-8,88.0,79.0,752,1.319,56.666
k8s-size-64-hpc6a.48xlarge/lmp-64-9-minicluster-size-64,64,minicluster-64,61.27,49.0,6016,2.359,51.892
k8s-size-64-hpc6a.48xlarge/lmp-64-18-minicluster-size-64,64,minicluster-64,47.03,34.0,6016,3.746,69.524
k8s-size-64-hpc6a.48xlarge/lmp-8-12-minicluster-size-8,8,minicluster-8,85.38,76.0,752,1.358,62.10300000000001
k8s-size-64-hpc6a.48xlarge/lmp-64-6-minicluster-size-64,64,minicluster-64,65.29,53.0,6016,2.438,49.117999999999995
k8s-size-64-hpc6a.48xlarge/lmp-64-19-minicluster-size-64,64,minicluster-64,37.18,25.0,6016,5.244,68.56
k8s-size-64-hpc6a.48xlarge/lmp-64-13-minicluster-size-64,64,minicluster-64,38.17,27.0,6016,4.232,62.235
k8s-size-64-hpc6a.48xlarge/lmp-16-8-minicluster-size-16,16,minicluster-16,55.79,46.0,1504,2.353,52.148999999999994
k8s-size-64-hpc6a.48xlarge/lmp-8-18-minicluster-size-8,8,minicluster-8,86.02,76.0,752,1.359,49.557
k8s-size-64-hpc6a.48xlarge/lmp-64-8-minicluster-size-64,64,minicluster-64,38.7,27.0,6016,5.047,53.27199999999999
k8s-size-64-hpc6a.48xlarge/lmp-16-7-minicluster-size-16,16,minicluster-16,60.32,50.0,1504,2.248,54.346
k8s-size-64-hpc6a.48xlarge/lmp-16-1-minicluster-size-16,16,minicluster-16,62.65,52.0,1504,2.247,59.29
