,minicluster_size,runtime,analysis,ranks
kubernetes-8/size_4_hostname/lammps-4-13,4,0.24329018592834473,hostname,224
kubernetes-8/size_4_hostname/lammps-4-11,4,0.23504304885864258,hostname,224
kubernetes-8/size_4_hostname/lammps-4-14,4,0.23378586769104004,hostname,224
kubernetes-8/size_4_hostname/lammps-4-12,4,0.23122572898864746,hostname,224
kubernetes-8/size_4_hostname/lammps-4-3,4,0.249525785446167,hostname,224
kubernetes-8/size_4_hostname/lammps-4-2,4,0.24595093727111816,hostname,224
kubernetes-8/size_4_hostname/lammps-4-19,4,0.23665952682495117,hostname,224
kubernetes-8/size_4_hostname/lammps-4-16,4,0.24392223358154297,hostname,224
kubernetes-8/size_4_hostname/lammps-4-5,4,0.23381805419921875,hostname,224
kubernetes-8/size_4_hostname/lammps-4-0,4,0.26169657707214355,hostname,224
kubernetes-8/size_4_hostname/lammps-4-8,4,0.23227596282958984,hostname,224
kubernetes-8/size_4_hostname/lammps-4-10,4,0.24015498161315918,hostname,224
kubernetes-8/size_4_hostname/lammps-4-1,4,0.24917316436767578,hostname,224
kubernetes-8/size_4_hostname/lammps-4-15,4,0.23868012428283691,hostname,224
kubernetes-8/size_4_hostname/lammps-4-6,4,0.2302548885345459,hostname,224
kubernetes-8/size_4_hostname/lammps-4-9,4,0.23189711570739746,hostname,224
kubernetes-8/size_4_hostname/lammps-4-17,4,0.23986434936523438,hostname,224
kubernetes-8/size_5_hostname_noaffinity/lammps-5-19,5,0.2156527042388916,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-17,5,0.21997523307800293,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-10,5,0.2378370761871338,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-18,5,0.2210381031036377,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-5,5,0.21596908569335938,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-1,5,0.23092293739318848,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-2,5,0.22344613075256348,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-3,5,0.2185349464416504,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-7,5,0.21164917945861816,hostname_noaffinity,280
kubernetes-8/size_5_hostname_noaffinity/lammps-5-16,5,0.2161576747894287,hostname_noaffinity,280
