,stage,type,time
471,goodbye->exit,leader,3.194e-05
472,none->join,leader,0.00024901999999999997
473,join->init,leader,2.2869e-05
474,init->quorum,leader,0.261882
475,quorum->run,leader,9.91595
476,run->cleanup,leader,244.59840000000003
477,cleanup->shutdown,leader,0.253161
478,shutdown->finalize,leader,0.0675622
479,goodbye->exit,leader,2.2599999999999997e-05
480,none->join,leader,0.00027337
481,join->init,leader,2.548e-05
482,init->quorum,leader,0.269973
483,quorum->run,leader,8.62657
484,run->cleanup,leader,246.72
485,cleanup->shutdown,leader,0.25296
486,shutdown->finalize,leader,0.06642279999999999
487,goodbye->exit,leader,2.156e-05
488,none->join,leader,0.00027833
489,join->init,leader,2.407e-05
490,init->quorum,leader,0.268228
491,quorum->run,leader,11.724
492,run->cleanup,leader,248.7048
493,cleanup->shutdown,leader,0.250599
494,shutdown->finalize,leader,0.0664066
495,goodbye->exit,leader,3.1480000000000004e-05
496,none->join,leader,0.00026333
497,join->init,leader,2.449e-05
498,init->quorum,leader,0.273941
499,quorum->run,leader,10.5373
500,run->cleanup,leader,244.9494
501,cleanup->shutdown,leader,0.248463
502,shutdown->finalize,leader,0.06686579999999999
503,goodbye->exit,leader,2.257e-05
504,none->join,leader,0.000280111
505,join->init,leader,2.546e-05
506,init->quorum,leader,0.278431
507,quorum->run,leader,10.9637
508,run->cleanup,leader,243.41279999999998
509,cleanup->shutdown,leader,0.251574
510,shutdown->finalize,leader,0.06564199999999999
511,goodbye->exit,leader,2.188e-05
512,none->join,leader,0.00025231
513,join->init,leader,2.225e-05
514,init->quorum,leader,0.263795
515,quorum->run,leader,9.97636
516,run->cleanup,leader,238.0194
517,cleanup->shutdown,leader,0.244765
518,shutdown->finalize,leader,0.0673246
519,goodbye->exit,leader,2.1190000000000002e-05
520,none->join,leader,0.00026322
521,join->init,leader,2.3199999999999998e-05
522,init->quorum,leader,0.26671
523,quorum->run,leader,4.2702
524,run->cleanup,leader,244.2324
525,cleanup->shutdown,leader,0.251834
526,shutdown->finalize,leader,0.0675153
527,goodbye->exit,leader,2.108e-05
528,none->join,leader,0.00027588
529,join->init,leader,2.572e-05
530,init->quorum,leader,0.267082
531,quorum->run,leader,6.84017
532,run->cleanup,leader,245.29080000000002
533,cleanup->shutdown,leader,0.245319
534,shutdown->finalize,leader,0.06522069999999999
535,goodbye->exit,leader,2.66e-05
536,none->join,leader,0.0002828
537,join->init,leader,3.076e-05
538,init->quorum,leader,0.274216
539,quorum->run,leader,7.70175
540,run->cleanup,leader,243.4674
541,cleanup->shutdown,leader,0.243173
542,shutdown->finalize,leader,0.0661638
543,goodbye->exit,leader,2.147e-05
544,none->join,leader,0.00025673
545,join->init,leader,2.4109999999999998e-05
546,init->quorum,leader,0.255945
547,quorum->run,leader,9.94409
548,run->cleanup,leader,242.6814
549,cleanup->shutdown,leader,0.247448
550,shutdown->finalize,leader,0.07908
551,goodbye->exit,leader,2.266e-05
552,none->join,leader,0.00025953
553,join->init,leader,2.298e-05
554,init->quorum,leader,0.269779
555,quorum->run,leader,9.01129
556,run->cleanup,leader,238.1262
557,cleanup->shutdown,leader,0.246739
558,shutdown->finalize,leader,0.0654564
559,goodbye->exit,leader,2.069e-05
560,none->join,leader,0.00027012000000000005
561,join->init,leader,2.6360000000000002e-05
562,init->quorum,leader,0.27091
563,quorum->run,leader,3.13236
564,run->cleanup,leader,243.15120000000002
565,cleanup->shutdown,leader,0.25021
566,shutdown->finalize,leader,0.0667672
567,goodbye->exit,leader,2.1499999999999997e-05
568,none->join,leader,0.00027373999999999996
569,join->init,leader,2.36e-05
570,init->quorum,leader,0.265982
571,quorum->run,leader,2.88511
572,run->cleanup,leader,241.47299999999998
573,cleanup->shutdown,leader,0.247804
574,shutdown->finalize,leader,0.0642821
575,goodbye->exit,leader,2.064e-05
576,none->join,leader,0.00025583
577,join->init,leader,2.418e-05
578,init->quorum,leader,0.266107
579,quorum->run,leader,3.64278
580,run->cleanup,leader,251.19480000000001
581,cleanup->shutdown,leader,0.244631
582,shutdown->finalize,leader,0.0706909
583,goodbye->exit,leader,2.155e-05
584,none->join,leader,0.00025536
585,join->init,leader,2.344e-05
586,init->quorum,leader,0.2571
587,quorum->run,leader,32.0908
588,run->cleanup,leader,229.86180000000002
589,cleanup->shutdown,leader,0.243207
590,shutdown->finalize,leader,0.0662899
591,goodbye->exit,leader,2.103e-05
592,none->join,leader,0.00027613
593,join->init,leader,2.4279999999999998e-05
594,init->quorum,leader,0.265842
595,quorum->run,leader,4.75078
596,run->cleanup,leader,240.0894
597,cleanup->shutdown,leader,0.244946
598,shutdown->finalize,leader,0.06593009999999999
599,goodbye->exit,leader,2.163e-05
600,none->join,leader,0.00029092
601,join->init,leader,2.404e-05
602,init->quorum,leader,0.267297
603,quorum->run,leader,9.98013
604,run->cleanup,leader,240.777
605,cleanup->shutdown,leader,0.24205
606,shutdown->finalize,leader,0.06800239999999999
607,goodbye->exit,leader,2.094e-05
608,none->join,leader,0.0002546
609,join->init,leader,2.44e-05
610,init->quorum,leader,0.26104
611,quorum->run,leader,9.99016
612,run->cleanup,leader,241.4538
613,cleanup->shutdown,leader,0.242981
614,shutdown->finalize,leader,0.0647224
615,goodbye->exit,leader,2.618e-05
616,none->join,leader,0.00025783
617,join->init,leader,2.9e-05
618,init->quorum,leader,0.264356
619,quorum->run,leader,7.39752
620,run->cleanup,leader,240.6036
621,cleanup->shutdown,leader,0.240821
622,shutdown->finalize,leader,0.065229
623,goodbye->exit,leader,2.1170000000000002e-05
624,none->join,leader,0.00025684
625,join->init,leader,2.5149999999999998e-05
626,init->quorum,leader,0.273622
627,quorum->run,leader,9.69521
628,run->cleanup,leader,245.76420000000002
629,cleanup->shutdown,leader,0.245456
630,shutdown->finalize,leader,0.0653729
631,goodbye->exit,leader,2.563e-05
632,none->join,leader,0.00026659
633,join->init,leader,2.489e-05
634,init->quorum,leader,0.268093
635,quorum->run,leader,5.98885
636,run->cleanup,leader,238.8156
637,cleanup->shutdown,leader,0.250654
638,shutdown->finalize,leader,0.0699692
639,goodbye->exit,leader,2.2159999999999998e-05
640,none->join,leader,0.00026411
641,join->init,leader,2.341e-05
642,init->quorum,leader,0.260457
643,quorum->run,leader,5.81934
644,run->cleanup,leader,245.18820000000002
645,cleanup->shutdown,leader,0.243846
646,shutdown->finalize,leader,0.0688246
647,goodbye->exit,leader,2.52e-05
648,none->join,leader,0.000261569
649,join->init,leader,2.5549e-05
650,init->quorum,leader,0.269841
651,quorum->run,leader,10.0532
652,run->cleanup,leader,247.58759999999998
653,cleanup->shutdown,leader,0.250367
654,shutdown->finalize,leader,0.06557930000000001
655,goodbye->exit,leader,2.1510000000000002e-05
656,none->join,leader,0.000245991
657,join->init,leader,3.4930999999999995e-05
658,init->quorum,leader,0.25977
659,quorum->run,leader,10.8791
660,run->cleanup,leader,241.7694
661,cleanup->shutdown,leader,0.252866
662,shutdown->finalize,leader,0.0682941
663,goodbye->exit,leader,2.214e-05
664,none->join,leader,0.00026446
665,join->init,leader,2.334e-05
666,init->quorum,leader,0.269207
667,quorum->run,leader,31.6258
668,run->cleanup,leader,246.69420000000002
669,cleanup->shutdown,leader,0.247894
670,shutdown->finalize,leader,0.0674411
671,goodbye->exit,leader,2.088e-05
672,none->join,leader,0.00027823999999999997
673,join->init,leader,2.9919999999999998e-05
674,init->quorum,leader,0.276346
675,quorum->run,leader,2.82988
676,run->cleanup,leader,238.5648
677,cleanup->shutdown,leader,0.244225
678,shutdown->finalize,leader,0.0663342
679,goodbye->exit,leader,2.187e-05
680,none->join,leader,0.00025439
681,join->init,leader,2.407e-05
682,init->quorum,leader,0.265557
683,quorum->run,leader,6.64824
684,run->cleanup,leader,235.0662
685,cleanup->shutdown,leader,0.24444
686,shutdown->finalize,leader,0.0689589
687,goodbye->exit,leader,2.16e-05
688,none->join,leader,0.00025487999999999997
689,join->init,leader,2.592e-05
690,init->quorum,leader,0.269263
691,quorum->run,leader,10.1607
692,run->cleanup,leader,241.81980000000001
693,cleanup->shutdown,leader,0.248388
694,shutdown->finalize,leader,0.0669684
695,goodbye->exit,leader,2.128e-05
696,none->join,leader,0.00025818
697,join->init,leader,2.2599999999999997e-05
698,init->quorum,leader,0.255044
699,quorum->run,leader,3.81075
700,run->cleanup,leader,243.8826
701,cleanup->shutdown,leader,0.248616
702,shutdown->finalize,leader,0.0657512
703,goodbye->exit,leader,2.14e-05
704,none->join,leader,0.00026289099999999996
705,join->init,leader,2.504e-05
706,init->quorum,leader,0.262241
707,quorum->run,leader,5.1532
708,run->cleanup,leader,244.01219999999998
709,cleanup->shutdown,leader,0.245846
710,shutdown->finalize,leader,0.06773749999999999
711,goodbye->exit,leader,2.576e-05
712,none->join,leader,0.00026164
713,join->init,leader,2.3279999999999997e-05
714,init->quorum,leader,0.2708
715,quorum->run,leader,7.36373
716,run->cleanup,leader,245.4744
717,cleanup->shutdown,leader,0.243956
718,shutdown->finalize,leader,0.06661740000000001
719,goodbye->exit,leader,2.144e-05
720,none->join,leader,0.00026396
721,join->init,leader,2.3820000000000002e-05
722,init->quorum,leader,0.2646
723,quorum->run,leader,31.6458
724,run->cleanup,leader,238.5636
725,cleanup->shutdown,leader,0.242292
726,shutdown->finalize,leader,0.06630459999999999
727,goodbye->exit,leader,2.147e-05
728,none->join,leader,0.00026445
729,join->init,leader,2.4e-05
730,init->quorum,leader,0.266574
